material,codec,texture,mse,psnr_db,ssim
material_16,astc,diffuse,0.0012952090700696292,28.876601229734923,0.8511911895190459
material_16,astc,normal,0.0007937265344224491,31.003291009081387,0.7774868948235643
material_16,astc,roughness,0.0014892962022788326,28.270189179482706,0.9535627554693111
material_16,astc,metallic,0.0015295796935910256,28.154278906406113,0.8088056602247375
material_17,ntc,diffuse,0.00011592157526624606,39.358357258392466,0.995153059303707
material_17,ntc,normal,3.147022660247694e-05,45.02100129922782,0.9956974736852297
material_17,ntc,roughness,0.00014138842015080103,38.49586158223316,0.9961318435625983
material_17,ntc,metallic,0.0003039188408498919,35.172423758545456,0.9952890019032588
material_17,bc,diffuse,0.012033419166882636,19.196109550103582,0.2867452624757216
material_17,bc,normal,0.0038896832622293,24.100857619304726,0.5263224189166621
material_17,bc,roughness,0.01124065516343215,19.49208375104047,0.8463100874743952
material_17,bc,metallic,0.023548270683036006,16.280409806960655,0.8357777879342547
material_17,astc,diffuse,0.003911968213319489,24.076046827280017,0.7721675217990788
material_17,astc,normal,0.0014985810155909293,28.24319773457072,0.7395795056575767
material_17,astc,roughness,0.003631140685729559,24.399569243582736,0.9432021452096051
material_17,astc,metallic,0.007327278153547246,21.35057321732759,0.9338684918769581
material_18,ntc,diffuse,6.856892996032431e-05,41.63872627783459,0.9949268994214965
material_18,ntc,normal,3.115238846522993e-05,45.06508650208549,0.9960672304160978
material_18,ntc,roughness,0.00018131621495691213,37.41563355576754,0.9955934424750502
material_18,ntc,metallic,0.0003734265560816039,34.27794800608677,0.9964552957866016
material_18,bc,diffuse,0.00829325105535099,20.812751873485063,0.3115500241262774
material_18,bc,normal,0.003960485979757777,24.02251519787262,0.5255148508307719
material_18,bc,roughness,0.011768409953569798,19.292822113315005,0.8584543946001982
material_18,bc,metallic,0.025143425331332937,15.995755579482838,0.8420935338002968
material_18,astc,diffuse,0.0027072999437512094,25.674636257589547,0.7910373339144693
material_18,astc,normal,0.0015197701090091074,28.182221014892267,0.7367229371273724
material_18,astc,roughness,0.0039934171790191,23.986553181347205,0.9497665029760988
material_18,astc,metallic,0.008094858777843768,20.917907235058102,0.9429660634623915
material_19,ntc,diffuse,5.6520616734291005e-05,42.477931079197624,0.9948100902883019
material_19,ntc,normal,3.2541289406111806e-05,44.875652427063244,0.9959155111744834
material_19,ntc,roughness,0.00016567055895581417,37.80754662486282,0.9955635050458715
material_19,ntc,metallic,0.00035834449274024305,34.456992656493085,0.9967484666577935
material_19,bc,diffuse,0.00551809671796634,22.582106917308877,0.3858367698412773
material_19,bc,normal,0.004233253783985817,23.733256947480996,0.5189209518893892
material_19,bc,roughness,0.011738324862870778,19.303938753813284,0.8576777461269565
material_19,bc,metallic,0.02537661950098986,15.955662321171642,0.840563179442179
material_19,astc,diffuse,0.0017898514132607542,27.471830210197716,0.8094697761860363
material_19,astc,normal,0.00171202491650872,27.664899189675683,0.732213530258338
material_19,astc,roughness,0.004050391415727409,23.925030060503506,0.9494677863188956
material_19,astc,metallic,0.008204554863246944,20.859449765462607,0.9420294213983597
material_20,ntc,diffuse,8.504306376760635e-06,50.70361102278301,0.996411865513238
material_20,ntc,normal,1.1613781090749382e-05,49.350263642830264,0.9969734335970397
material_20,ntc,roughness,1.4042647874003849e-05,48.52550994154633,0.9938651750367272
material_20,ntc,metallic,2.3435469151686052e-05,46.30126347970568,0.9914433528736253
material_20,bc,diffuse,0.00016399520338198422,37.85168854240108,0.9663715932377138
material_20,bc,normal,0.0011771533297939142,29.29166964559819,0.9649925724648926
material_20,bc,roughness,0.00010926561475328488,39.615164864709314,0.9553522109333357
material_20,bc,metallic,0.0001464550426518178,38.34295670358921,0.9447806562652268
material_20,astc,diffuse,7.775683125833242e-05,41.09261446063535,0.9668197384696309
material_20,astc,normal,0.0008570585458791438,30.669895103010756,0.9608511915971424
material_20,astc,roughness,9.741633091385069e-05,40.11368231712268,0.9541452695174802
material_20,astc,metallic,0.00011417704434239716,39.42421203599449,0.9464319274817863
material_21,ntc,diffuse,8.502698093786197e-06,50.70443241190468,0.9956421224876847
material_21,ntc,normal,1.733234335070354e-05,47.611427162543876,0.9923412142155964
material_21,ntc,roughness,1.2950509120269697e-05,48.87713157931956,0.9948782582870846
material_21,ntc,metallic,4.677293477282006e-06,53.30005379382612,0.9965860054961112
material_21,bc,diffuse,0.00030531571638558135,35.152508394489466,0.9093740455151592
material_21,bc,normal,0.0007748499355193854,31.10782398766427,0.8003785616889435
material_21,bc,roughness,0.0006832790536897699,31.654018926190112,0.8850156448465596
material_21,bc,metallic,1.30199048086894e-05,48.853921909761254,0.9939790041115715
